"","reef","sd.relief","hard.corals","Status"
"Total.Abundance",0.868,0.003,0.787,0.102
"Species.Richness",0.349,0.075,0.189,0.34
"Abundance.TargetLoc.0.large",0.061,0.052,0.136,0.396
"Abundance.TargetLoc.1.large",0.775,0.045,0.869,0.038
"Abundance.TargetLoc.2.large",0.547,0.048,0.539,0.191
"Abundance.TargetLoc.0.small",0.029,0.969,0.971,0.029
"Abundance.TargetLoc.1.small",0.257,0,0,0.31
"Abundance.TargetLoc.2.small",0.397,0.009,0.116,0.362
"School.Total",0.295,0.081,0.174,0.371
"Number.of.schools",0.474,0.073,0.03,0.411
