"","Depth","mean.relief","sd.relief","rock","macroalgae","hard.corals","sand","reef","Status"
"Total.Abundance",0.0282,0,0.008,0.0608125,0.002875,0.0025,0.002,0.004,0.0341304347826087
"Species.Richness",0.02275,0.001,0.00366666666666667,0.0543125,0.0089375,0.0035,0.00675,0.00675,0.0218260869565217
"Abundance.Chlorurus sordidus.large",0.03595,0.001,0.00416666666666667,0.0595625,0.0020625,0.00125,0.001,0.001,0.0403913043478261
"Abundance.Chlorurus sordidus.small",0.0241,0.005,0.0186666666666667,0.017,0.0105625,0.01375,0.02075,0.023,0.0199565217391304
"Abundance.Ctenochaetus striatus.large",0.01935,0.183,0.014,0.027875,0.0009375,0.003,0.02325,0.02375,0.0145217391304348
"Abundance.Ctenochaetus striatus.small",0,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.0.large",0.0256,0.013,0.00516666666666667,0.038625,0.017,0.006625,0.0035,0.004,0.029304347826087
"Abundance.TargetLoc.1.large",0.00865,0.0055,0.0055,0.015875,0.0015625,0.087375,0.03175,0.13625,0.00739130434782609
"Abundance.TargetLoc.2.large",0.02915,0.001,0.0238333333333333,0.0615,0.002625,0.001125,0.00075,0.0015,0.0308260869565217
"Abundance.TargetLoc.0.small",0,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.1.small",0.00615,0,0,0,0,0,0.058,0.04575,0.0370869565217391
"Abundance.TargetLoc.2.small",0.0178,0.0195,0.0015,0.0196875,0.0058125,0.009625,0.03825,0.04925,0.0226086956521739
"School.Total",0.0282,0,0.008,0.0608125,0.002875,0.0025,0.002,0.004,0.0341304347826087
"Number.of.schools",0.02405,0.001,0.0246666666666667,0.0341875,0.0066875,0.015,0.01425,0.0155,0.0214782608695652
