"","sand","sd.relief","hard.corals","mean.relief","status"
"total.abundance",0.704,0.006,0.704,0.005,0.093
"species.richness",0.139,0.048,0.148,0.01,0.195
"large",0.688,0.028,0.688,0.012,0.065
"small",0.147,0.086,0.007,0.006,0.262
"abundance.targetloc.0.large",0.026,0.029,0.119,0.089,0.342
"abundance.targetloc.1.large",0.354,0.046,0.354,0.163,0.083
"abundance.targetloc.2.large",0.363,0.04,0.363,0.112,0.142
"abundance.targetloc.0.small",0.536,0.098,0.161,0.122,0.536
"abundance.targetloc.1.small",0.326,0.049,0.497,0.004,0.047
"abundance.targetloc.2.small",0.191,0.007,0.059,0.073,0.2
"number in school",0.218,0.107,0.155,0.111,0.288
"number of schools",0.07,0.068,0.196,0.254,0.153
"NA",0.704,0.006,0.704,0.005,0.093
"NA",0.139,0.048,0.148,0.01,0.195
"NA",0.688,0.028,0.688,0.012,0.065
"NA",0.147,0.086,0.007,0.006,0.262
"NA",0.026,0.029,0.119,0.089,0.342
"NA",0.354,0.046,0.354,0.163,0.083
"NA",0.363,0.04,0.363,0.112,0.142
"NA",0.536,0.098,0.161,0.122,0.536
"NA",0.326,0.049,0.497,0.004,0.047
"NA",0.191,0.007,0.059,0.073,0.2
"NA",0.218,0.107,0.155,0.111,0.288
"NA",0.07,0.068,0.196,0.254,0.153
